#scalar perturbations for mode k = 3.115658154372e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       2.342871277461e+00       5.062842514747e-06      -1.208013433094e+00       6.825689443399e-04       1.401069472114e-08       3.502673680285e-08       1.260213598189e-14       7.005347360571e-09      -9.060100748202e-01       6.825689443518e-04       6.016667181197e-01       6.982635296883e-01      -1.208013415240e+00       6.824059045350e-04       2.135049919418e-04      -9.060101023083e-01       6.829035629826e-04 
       2.364948956772e+00       5.110758517943e-06      -1.208088944250e+00       6.889909982866e-04       1.441146122366e-08       3.602865305914e-08       1.320913546889e-14       7.205730611829e-09      -9.060667081878e-01       6.889909983020e-04       6.016636766884e-01       6.982496987095e-01      -1.208088921529e+00       6.888232968167e-04       2.175409445305e-04      -9.060667431684e-01       6.893351465584e-04 
       2.387026636083e+00       5.158678387894e-06      -1.208164360456e+00       6.954125725175e-04       1.481980981368e-08       3.704952453419e-08       1.383933400338e-14       7.409904906838e-09      -9.061232703417e-01       6.954125725366e-04       6.016606636769e-01       6.982359387281e-01      -1.208164332728e+00       6.952401212921e-04       2.216146506113e-04      -9.061233130272e-01       6.957664291974e-04 
       2.409104315393e+00       5.206602124600e-06      -1.208239735507e+00       7.018336916351e-04       1.523581250847e-08       3.808953127118e-08       1.449339259591e-14       7.617906254237e-09      -9.061798016305e-01       7.018336916580e-04       6.016576692363e-01       6.982222362913e-01      -1.208239702632e+00       7.016564017323e-04       2.257261064216e-04      -9.061798522371e-01       7.021974371504e-04 
       2.431181994704e+00       5.254529728062e-06      -1.208315063193e+00       7.082543441221e-04       1.565954057798e-08       3.914885144496e-08       1.517198406140e-14       7.829770288992e-09      -9.062362973946e-01       7.082543441490e-04       6.016546964101e-01       6.982085929488e-01      -1.208315025026e+00       7.080721257889e-04       2.298753082100e-04      -9.062363561427e-01       7.086281605481e-04 
       2.453259674014e+00       5.302461198279e-06      -1.208390340165e+00       7.146745201398e-04       1.609106532368e-08       4.022766330920e-08       1.587579384133e-14       8.045532661839e-09      -9.062927551237e-01       7.146745201710e-04       6.016517475378e-01       6.981950095339e-01      -1.208390296561e+00       7.144872827919e-04       2.340622521806e-04      -9.062928222377e-01       7.150585911995e-04 
       2.490900466600e+00       5.384189687548e-06      -1.208518656837e+00       7.256193780293e-04       1.684496522558e-08       4.211241306395e-08       1.713588255393e-14       8.422482612789e-09      -9.063889926275e-01       7.256193780682e-04       6.016467595228e-01       6.981719660014e-01      -1.208518603616e+00       7.254233723952e-04       2.412876955820e-04      -9.063890745336e-01       7.260213607999e-04 
       2.528541259185e+00       5.465929416587e-06      -1.208646981579e+00       7.365628920561e-04       1.762209175077e-08       4.405522937692e-08       1.847485978015e-14       8.811045875383e-09      -9.064852361839e-01       7.365628921034e-04       6.016418188452e-01       6.981490577674e-01      -1.208646918296e+00       7.363578482899e-04       2.486228170128e-04      -9.064853335666e-01       7.369833335250e-04 
       2.566182051771e+00       5.547680385394e-06      -1.208775359419e+00       7.475050577475e-04       1.842279951578e-08       4.605699878946e-08       1.989638358616e-14       9.211399757892e-09      -9.065815195639e-01       7.475050578039e-04       6.016369221185e-01       6.981262735577e-01      -1.208775285612e+00       7.472907018811e-04       2.560675976169e-04      -9.065816331285e-01       7.479445130585e-04 
       2.603822844356e+00       5.629442593970e-06      -1.208903838479e+00       7.584458744812e-04       1.924744332517e-08       4.811860831293e-08       2.140422430345e-14       9.623721662585e-09      -9.066778788592e-01       7.584458745473e-04       6.016320647156e-01       6.981036013252e-01      -1.208903753675e+00       7.582219284234e-04       2.636220184944e-04      -9.066780093319e-01       7.589049069304e-04 
